Unnamed: 0,Unnamed: 1,名詞短語,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,動詞短語,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,介詞短語,Unnamed: 14,句子,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
10_TP_t3032,沒有 . ,,,,,,,,,,,,,,,,,,,,
10_TP_t3033,我 可以 玩 好 久 . ,,,,,,,,,,,,,,,,,,,,
10_TP_t3034,放 小豬 . ,,,,,,,,,,,,,,,,,,,,
10_TP_t3035,不 是 放 小豬 是 放 維尼熊 . ,,,,,,,,,,,,,,,,,,,,
10_TP_t3036,收好 了 . ,,,,,,1,1,,,,,,,,,,,,,
10_TP_t3037,我 還 要 玩 這 個 遊戲 . ,1,,,,,,,,,,,,,,,,,,,
10_TP_t3038,我 還 要 玩 這 個 . ,1,,,,,,,,,,,,,,,,,,,
10_TP_t3039,遊戲 . ,,,,,,,,,,,,,,,,,,,,
10_TP_t3040,不要 . ,,,,,,,,,,,,,,,,,,,,
10_TP_t3041,不要 . ,,,,,,,,,,,,,,,,,,,,
10_TP_t3042,我 還 要 幫 小豬 打針 . ,,,,,,,,,,,,,,,,,1,,,
10_TP_t3043,我 還 要 玩 這 個 打針 . ,1,,,,,,,,,,,,,,,,,,,
10_TP_t3044,小豬 拿 起來 . ,,,,,,,,1,,,,,,,,,,,,
10_TP_t3045,還 要 放 這裡 . ,,,,,1,,,,,,,,,,,,,,,
10_TP_t3046,小豬 . ,,,,,,,,,,,,,,,,,,,,
10_TP_t3047,這 個 藥 豬豬 的 . ,,,1,,,,,,,,,,,,,,,,,
10_TP_t3048,沒有 聲音 . ,,,,,,,,,,,,,,,,,,,,
10_TP_t3049,沒有 聲音 . ,,,,,,,,,,,,,,,,,,,,
10_TP_t3050,還 沒 玩 好 久 . ,,,,,,,,,,,,,,,,,,,,
10_TP_t3051,好 聽 肚子 . ,,,,,,,,,,,,,,,,,,,,
10_TP_t3052,蓋子 . ,,,,,,,,,,,,,,,,,,,,
10_TP_t3053,放 出來 的 玩具 . ,,,,1,,,,1,,,,,,,,,,,,
10_TP_t3054,謝謝 . ,,,,,,,,,,,,,,,,,,,,
10_TP_t3055,我 要 一 個 玩具 . ,1,,,,,,,,,,,,,,,,,,,
10_TP_t3056,不會 . ,,,,,,,,,,,,,,,,,,,,
10_TP_t3057,我 會 . ,,,,,,,,,,,,,,,,,,,,
10_TP_t3058,黏土 . ,,,,,,,,,,,,,,,,,,,,
10_TP_t3059,拼圖 . ,,,,,,,,,,,,,,,,,,,,
10_TP_t3060,我 會 . ,,,,,,,,,,,,,,,,,,,,
10_TP_t3061,打 電話 . ,,,,,,,,,,,,,,,,,,,,
10_TP_t3062,我 想 先 玩 那 個 . ,1,,,,,,,,,,,,,,,,,,,1
10_TP_t3063,我 想 現在 玩 另外 一 個 . ,1,,,,,,,,,,,,,,,,,,,1
10_TP_t3064,這裡 . ,,,,,1,,,,,,,,,,,,,,,
10_TP_t3065,我 自己 拼拼 看 . ,,,,,,1,,,,,,,,,,,,,,
10_TP_t3066,上面 . ,,,,,1,,,,,,,,,,,,,,,
10_TP_t3067,在 哪裡 ? ,,,,,,,,,,,,,,,,,,,,
10_TP_t3068,在 哪裡 ? ,,,,,,,,,,,,,,,,,,,,
10_TP_t3069,上面 . ,,,,,1,,,,,,,,,,,,,,,
10_TP_t3070,不 會 拼 . ,,,,,,,,,,,,,,,,,,,,
10_TP_t3071,亂 掉 了 . ,,,,,,1,1,,,,,,,,,,,,,
10_TP_t3072,我 不 知道 . ,,,,,,,,,,,,,,,,,,,,
10_TP_t3073,我 想 玩 . ,,,,,,,,,,,,,,,,,,,,
10_TP_t3074,我 想 換 另外 一 個 . ,1,,,,,,,,,,,,,,,,,,,1
10_TP_t3075,我 要 換 另外 一 個 . ,1,,,,,,,,,,,,,,,,,,,
10_TP_t3076,好像 不 是 這 個 遊戲 . ,1,,,,,,,,,,,,,,,,,,,
10_TP_t3077,是 這 個 遊戲 . ,1,,,,,,,,,,,,,,,,,,,
10_TP_t3078,積木 . ,,,,,,,,,,,,,,,,,,,,
10_TP_t3079,這 個 . ,1,,,,,,,,,,,,,,,,,,,
10_TP_t3080,是 積木 . ,,,,,,,,,,,,,,,,,,,,
10_TP_t3081,綠色 . ,,,,,,,,,,,,,,,,,,,,
10_TP_t3082,不要 蓋 這 個  什麼 ? ,1,,,,,,,,,,,,,,,,,,,
10_TP_t3083,拼 不 起來 . ,,,,,,,1,,,1,,,,,,,,,,
10_TP_t3084,我 想 玩 . ,,,,,,,,,,,,,,,,,,,,
10_TP_t3085,形狀 . ,,,,,,,,,,,,,,,,,,,,
10_TP_t3086,這 個 . ,1,,,,,,,,,,,,,,,,,,,
10_TP_t3087,這 個 . ,1,,,,,,,,,,,,,,,,,,,
10_TP_t3088,這 個 . ,1,,,,,,,,,,,,,,,,,,,
10_TP_t3089,綠色 . ,,,,,,,,,,,,,,,,,,,,
10_TP_t3090,我 去 看 一 下. ,,,,,,,,,,,1,,,,,,,,,
10_TP_t3091,我 去 看 一下 . ,,,,,,,,,,,1,,,,,,,,,
10_TP_t3092,我 看 一下 . ,,,,,,,,,,,1,,,,,,,,,
10_TP_t3093,我 想 玩 這 個 玩具 . ,1,,,,,,,,,,,,,,,,,,,1
10_TP_t3094,我 想 看 一下 . ,,,,,,,,,,,1,,,,,,,,,
10_TP_t3095,我 想 ,,,,,,,,,,,,,,,,,,,,
10_TP_t3096,我 想 玩 打針 的 遊戲 . ,,,,1,,,,,,,,,,,,,,,,1
10_TP_t3097,我 還 要 玩 . ,,,,,,,,,,,,,,,,,,,,
10_TP_t3098,我 想 玩 打針 的 遊戲 . ,,,,1,,,,,,,,,,,,,,,,1
10_TP_t3099,我 還 要 玩 . ,,,,,,,,,,,,,,,,,,,,
10_TP_t3100,我 想 玩 打針 的 遊戲 . ,,,,1,,,,,,,,,,,,,,,,1
14_TP_t3001,咦 一樣 的 的 欸 . ,,,1,,,,,,,,,,,,,,,,,
14_TP_t3002,豬豬 . ,,,,,,,,,,,,,,,,,,,,
14_TP_t3003,蛇 . ,,,,,,,,,,,,,,,,,,,,
14_TP_t3004,小熊維尼 . ,,,,,,,,,,,,,,,,,,,,
14_TP_t3005,這 個 . ,1,,,,,,,,,,,,,,,,,,,
14_TP_t3006,兔子 . ,,,,,,,,,,,,,,,,,,,,
14_TP_t3007,豬豬 啦 . ,,,,,,,,,,,,,,,,,,,,
14_TP_t3008,筆 . ,,,,,,,,,,,,,,,,,,,,
14_TP_t3009,這 個 咧 . ,1,,,,,,,,,,,,,,,,,,,
14_TP_t3010,媽媽 吃 的 藥藥 的 . ,,,1,1,,,,,,,,,,,,,,,,
14_TP_t3011,你 要 吃 . ,,,,,,,,,,,,,,,,,,,,
14_TP_t3012,還有 這 個 藥藥 啦 . ,1,,,,,,,,,,,,,,,,,,,
14_TP_t3013,沒有 生病 . ,,,,,,,,,,,,,,,,,,,,
14_TP_t3014,沒有 發燒 . ,,,,,,,,,,,,,,,,,,,,
14_TP_t3015,量量 耳朵 . ,,,,,,,,,,,,,,,,,,,,
14_TP_t3016,不 用 打針 . ,,,,,,,,,,,,,,,,,,,,
14_TP_t3017,不 用 吃 藥藥 . ,,,,,,,,,,,,,,,,,,,,
14_TP_t3018,怎麼辦 ? ,,,,,,,,,,,,,,,,,,,,
14_TP_t3019,那 是 廣告 的 . ,,,1,,,,,,,,,,,,,,,,,
14_TP_t3020,也 有 . ,,,,,,,,,,,,,,,,,,,,
14_TP_t3021,用 這 個 的 . ,1,,1,,,,,,,,,,,,,,,,,
14_TP_t3022,不要 聽 一 次 的 . ,,,1,,,,,,,,1,,,,,,,,,
14_TP_t3023,這 個 . ,1,,,,,,,,,,,,,,,,,,,
14_TP_t3024,幫 豬豬 打針 . ,,,,,,,,,,,,,,,,,1,,,
14_TP_t3025,打 屁股 . ,,,,,,,,,,,,,,,,,,,,
14_TP_t3026,藥藥 . ,,,,,,,,,,,,,,,,,,,,
14_TP_t3027,藥藥 的 . ,,,1,,,,,,,,,,,,,,,,,
14_TP_t3028,給 小豬 吃 . ,,,,,,,,,,,,1,,,,,,,,
14_TP_t3029,乖乖 吃 藥 . ,,,,,,,,,,,,,,,,,,,,
14_TP_t3030,才 會 好 . ,,,,,,,,,,,,,,,,,,,,
14_TP_t3031,這 個 . ,1,,,,,,,,,,,,,,,,,,,
14_TP_t3032,藥藥 不要 的 . ,,,1,,,,,,,,,,,,,,,,,
14_TP_t3033,玩 別 的 . ,,,1,,,,,,,,,,,,,,,,,
14_TP_t3034,你 要 放 . ,,,,,,,,,,,,,,,,,,,,
14_TP_t3035,我 要 放好 . ,,,,,,,1,,,,,,,,,,,,,
14_TP_t3036,豬豬 生病了 . ,,,,,,,,,,,,,,,,,,,,
14_TP_t3037,回家 休息 . ,,,,,,,,,,,,,,,,,,,,
14_TP_t3038,換 一 個 . ,1,,,,,,,,,,,,,,,,,,,
14_TP_t3039,先 蓋好 . ,,,,,,,1,,,,,,,,,,,,,
14_TP_t3040,換 玩具 了 . ,,,,,,,,,,,,,,,,,,,,
14_TP_t3041,換 這 個 . ,1,,,,,,,,,,,,,,,,,,,
14_TP_t3042,從 這裡 . ,,,,,1,,,,,,,,,,,,,,,
14_TP_t3043,拼圖 . ,,,,,,,,,,,,,,,,,,,,
14_TP_t3044,放 好 . ,,,,,,,1,,,,,,,,,,,,,
14_TP_t3045,不要 了 . ,,,,,,,,,,,,,,,,,,,,
14_TP_t3046,不要 . ,,,,,,,,,,,,,,,,,,,,
14_TP_t3047,不要 講 了 . ,,,,,,,,,,,,,,,,,,,,
14_TP_t3048,不要 講 這 個 . ,1,,,,,,,,,,,,,,,,,,,
14_TP_t3049,不要 . ,,,,,,,,,,,,,,,,,,,,
14_TP_t3050,用 什麼 ? ,,,,,,,,,,,,,,,,,,,,
14_TP_t3051,不要 拼 起來 . ,,,,,,,1,,,,,,,,,,,,,
14_TP_t3052,收 起來 了 . ,,,,,,,1,,,,,,,,,,,,,
14_TP_t3053,不要 玩 到 . ,,,,,,,1,,,,,,,,,,,,,
14_TP_t3054,為什麼 ? ,,,,,,,,,,,,,,,,,,,,
14_TP_t3055,不 好 . ,,,,,,,,,,,,,,,,,,,,
14_TP_t3056,不要 . ,,,,,,,,,,,,,,,,,,,,
14_TP_t3057,收好 . ,,,,,,,1,,,,,,,,,,,,,
14_TP_t3058,拼圖 . ,,,,,,,,,,,,,,,,,,,,
14_TP_t3059,收好 . ,,,,,,,1,,,,,,,,,,,,,
14_TP_t3060,下次 再 玩 . ,,,,,,,,,,,,,,,,,,,,
14_TP_t3061,這 個 . ,1,,,,,,,,,,,,,,,,,,,
14_TP_t3062,還有 這 個 拼圖 ? ,1,,,,,,,,,,,,,,,,,,,
14_TP_t3063,好 了 . ,,,,,,,,,,,,,,,,,,,,
14_TP_t3064,還有 . ,,,,,,,,,,,,,,,,,,,,
14_TP_t3065,還有 . ,,,,,,,,,,,,,,,,,,,,
14_TP_t3066,好 了 . ,,,,,,,,,,,,,,,,,,,,
14_TP_t3067,好 了 . ,,,,,,,,,,,,,,,,,,,,
14_TP_t3068,放 回去 . ,,,,,,,,1,,,,,,,,,,,,
14_TP_t3069,這裡 這裡 . ,,,,,1,,,,,,,,,,,,,,,
14_TP_t3070,這裡 . ,,,,,1,,,,,,,,,,,,,,,
14_TP_t3071,這 個 . ,1,,,,,,,,,,,,,,,,,,,
14_TP_t3072,過來 這裡 . ,,,,,1,,,,,,,,,,,,,,,
14_TP_t3073,要 . ,,,,,,,,,,,,,,,,,,,,
14_TP_t3074,這 個 . ,1,,,,,,,,,,,,,,,,,,,
14_TP_t3075,這 個 . ,1,,,,,,,,,,,,,,,,,,,
14_TP_t3076,拿 起來 . ,,,,,,,,1,,,,,,,,,,,,
14_TP_t3077,先 拿 起來 . ,,,,,,,,1,,,,,,,,,,,,
14_TP_t3078,這 個 扣 . ,1,,,,,,,,,,,,,,,,,,,
14_TP_t3079,這 個 一起 走 . ,1,,,,,,,,,,,,,,,,,,,
14_TP_t3080,走 . ,,,,,,,,,,,,,,,,,,,,
14_TP_t3081,對 準 . ,,,,,,,1,,,,,,,,,,,,,
14_TP_t3082,扣 在 這 個 . ,1,,,,,,,,,,,,1,,,,,,,
14_TP_t3083,好了 . ,,,,,,,,,,,,,,,,,,,,
14_TP_t3084,走 . ,,,,,,,,,,,,,,,,,,,,
14_TP_t3085,大大 的 . ,,,1,,,,,,,,,,,,,,,,,
14_TP_t3086,還有 . ,,,,,,,,,,,,,,,,,,,,
14_TP_t3087,還有 這 個 . ,1,,,,,,,,,,,,,,,,,,,
14_TP_t3088,還有 這 個 . ,1,,,,,,,,,,,,,,,,,,,
14_TP_t3089,好 了 . ,,,,,,,,,,,,,,,,,,,,
14_TP_t3090,哇 拼圖 . ,,,,,,,,,,,,,,,,,,,,
14_TP_t3091,積木 . ,,,,,,,,,,,,,,,,,,,,
14_TP_t3092,這 個 . ,1,,,,,,,,,,,,,,,,,,,
14_TP_t3093,這 個 . ,1,,,,,,,,,,,,,,,,,,,
14_TP_t3094,這 個 嘿 . ,1,,,,,,,,,,,,,,,,,,,
14_TP_t3095,像 大 卡車 . ,,,,,,,,,,,,,,,,,,,,
14_TP_t3096,這 個 大 的 . ,,,1,,,,,,,,,,,,,,,,,
14_TP_t3097,走 在 後面 . ,,,,,1,,,,,,,,1,,,,,,,
14_TP_t3098,給 媽媽 看 . ,,,,,,,,,,,,1,,,,,,,,
14_TP_t3099,不要 . ,,,,,,,,,,,,,,,,,,,,
14_TP_t3100,自己 用用 看 . ,,,,,,1,,,,,,,,,,,,,,
D03001,這 個 是 什麼 ? ,1,,,,,,,,,,,,,,,,,,,
D03002,是 樂高 欸 . ,,,,,,,,,,,,,,,,,,,,
D03003,可以 . ,,,,,,,,,,,,,,,,,,,,
D03004,這 個 . ,1,,,,,,,,,,,,,,,,,,,
D03005,我 要 拼成 鱷魚 . ,,,,,,,1,,,,,,,,,,,,,
D03006,那 火車 好 了 . ,,,,,,,,,,,,,,,,,,,,
D03007,這邊 的 火車 好 了 . ,,,,1,1,,,,,,,,,,,,,,,
D03008,做 起來 . ,,,,,,,1,,,,,,,,,,,,,
D03009,好 嗎 ? ,,,,,,,,,,,,,,,,,,,,
D03010,壓好 了 . ,,,,,,,1,,,,,,,,,,,,,
D03011,這 個 還 沒 好 . ,1,,,,,,,,,,,,,,,,,,,
D03012,我 在 玩 遊戲 . ,,,,,,,,,,,,,,,,,,,,
D03013,我 在 玩 積木 . ,,,,,,,,,,,,,,,,,,,,
D03014,火車 . ,,,,,,,,,,,,,,,,,,,,
D03015,煙囪 . ,,,,,,,,,,,,,,,,,,,,
D03016,媽媽 請 給 我 啊 . ,,,,,,,,,,,,,,,,,,,,
D03017,媽媽 請 幫 我 拿 . ,,,,,,,,,,,,,,,,,1,,,
D03018,耶 好 了 ! ,,,,,,,,,,,,,,,,,,,,
D03019,我 可以 加 在 這邊 嗎 ? ,,,,,1,,,,,,,,,,,,,,,
D03020,這 個 打 不 開 . ,,,,,,,,,,1,,,,,,,,,,
D03021,你 是 誰 回來 了 ? ,,,,,,,,,,,,,,,,,,,,
D03022,打 電話 . ,,,,,,,,,,,,,,,,,,,,
D03023,打 電話 給 阿公 . ,,,,,,,,,,,,,1,,,,,,,
D03024,這 個 太 小 了 . ,1,,,,,,,,,,,,,,,,,,,
D03025,我 要 換 一 個 . ,1,,,,,,,,,,,,,,,,,,,
D03026,鱷魚 . ,,,,,,,,,,,,,,,,,,,,
D03027,把 他 變成 火車 . ,,,,,,,1,,,,,,,1,,,,,,
D03028,火車 . ,,,,,,,,,,,,,,,,,,,,
D03029,我 要 這 個 . ,1,,,,,,,,,,,,,,,,,,,
D03030,那 個 車車 啊 . ,1,,,,,,,,,,,,,,,,,,,
D03031,這 是 什麼 聲音 ? ,,,,,,,,,,,,,,,,,,,,
D03032,彈 鋼琴 的 聲音 . ,,,,1,,,,,,,,,,,,,,,,
D03033,再 一次 . ,,,,,,,,,,,,,,,,,,,,
D03034,姨婆 . ,,,,,,,,,,,,,,,,,,,,
D03035,外公 . ,,,,,,,,,,,,,,,,,,,,
D03036,我 . ,,,,,,,,,,,,,,,,,,,,
D03037,我 要 坐 火車 . ,,,,,,,,,,,,,,,,,,,,
D03038,哥哥 可以 坐 火車 . ,,,,,,,,,,,,,,,,,,,,
D03039,媽媽 可以 坐 火車 . ,,,,,,,,,,,,,,,,,,,,
D03040,媽媽 幫 我 開 . ,,,,,,,,,,,,,,,,,1,,,
D03041,這 不 是 個 船 啦 . ,1,,,,,,,,,,,,,,,,,,,
D03042,啊 那 是 吐司 嗎 ? ,,,,,,,,,,,,,,,,,,,,
D03043,那 打開 你 吐司 . ,,,,,,,1,,,,,,,,,,,,,
D03044,這 是 他 家 . ,,,,,,,,,,,,,,,,,,,,
D03045,蛋糕 啊 . ,,,,,,,,,,,,,,,,,,,,
D03046,這 是 番茄 . ,,,,,,,,,,,,,,,,,,,,
D03047,番茄醬 . ,,,,,,,,,,,,,,,,,,,,
D03048,蛋糕 . ,,,,,,,,,,,,,,,,,,,,
D03049,紅蘿蔔 . ,,,,,,,,,,,,,,,,,,,,
D03050,切 菜 . ,,,,,,,,,,,,,,,,,,,,
D03051,要 煮 菜菜 . ,,,,,,,,,,,,,,,,,,,,
D03052,蛋蛋 . ,,,,,,,,,,,,,,,,,,,,
D03053,這 好 了 . ,,,,,,,,,,,,,,,,,,,,
D03054,要 煮 蛋蛋 . ,,,,,,,,,,,,,,,,,,,,
D03055,我 要 煮 蛋蛋 啊 . ,,,,,,,,,,,,,,,,,,,,
D03056,蛋黃 . ,,,,,,,,,,,,,,,,,,,,
D03057,加 蛋 . ,,,,,,,,,,,,,,,,,,,,
D03058,麵包 . ,,,,,,,,,,,,,,,,,,,,
D03059,切好 了 . ,,,,,,1,1,,,,,,,,,,,,,
D03060,我 切好 了 . ,,,,,,1,1,,,,,,,,,,,,,
D03061,好 了 . ,,,,,,,,,,,,,,,,,,,,
D03062,切 . ,,,,,,,,,,,,,,,,,,,,
D03063,切好 了 . ,,,,,,1,1,,,,,,,,,,,,,
D03064,好 了 . ,,,,,,,,,,,,,,,,,,,,
D03065,唱 生日快樂 . ,,,,,,,,,,,,,,,,,,,,
D03066,我 生日 嗎 ? ,,,,,,,,,,,,,,,,,,,,
D03067,叮咚 買單 喔 . ,,,,,,,,,,,,,,,,,,,,
D03068,買單 囉 . ,,,,,,,,,,,,,,,,,,,,
D03069,麵包 幾 塊 錢 ? ,,1,,,,,,,,,,,,,,,,,,
D03070,要 切 . ,,,,,,,,,,,,,,,,,,,,
D03071,喔 吃 吐司 . ,,,,,,,,,,,,,,,,,,,,
D03072,番茄醬 . ,,,,,,,,,,,,,,,,,,,,
D03073,是 這 個 姐姐 跟 姐姐 . ,1,,,,,,,,,,,,,,,,,,,
D03074,是 跟 姐姐 吃飯 . ,,,,,,,,,,,,1,,,,,,,,
D03075,好吃 . ,,,,,,,,,,,,,,,,,,,,
D03076,好吃 . ,,,,,,,,,,,,,,,,,,,,
D03077,湯匙 . ,,,,,,,,,,,,,,,,,,,,
D03078,這 個 . ,1,,,,,,,,,,,,,,,,,,,
D03079,不要 . ,,,,,,,,,,,,,,,,,,,,
D03080,不要 . ,,,,,,,,,,,,,,,,,,,,
D03081,時間 到 了 . ,,,,,,,,,,,,,,,,,,,,
D03082,收 玩具 喔 . ,,,,,,,,,,,,,,,,,,,,
D03083,拼圖 . ,,,,,,,,,,,,,,,,,,,,
D03084,車子 . ,,,,,,,,,,,,,,,,,,,,
D03085,不 是 . ,,,,,,,,,,,,,,,,,,,,
D03086,靠 著 角角 . ,,,,,,1,,,,,,,,,,,,,,
D03087,拼圖 . ,,,,,,,,,,,,,,,,,,,,
D03088,這樣 對 啊 . ,,,,,,,,,,,,,,,,,,,,
D03089,這樣 是 嗎 ? ,,,,,,,,,,,,,,,,,,,,
D03090,角角 嗎? ,,,,,,,,,,,,,,,,,,,,
D03091,角角 . ,,,,,,,,,,,,,,,,,,,,
D03092,他 是 在 這裡 嗎 ? ,,,,,1,,,,,,,,1,,,,,,,
D03093,不 是 吧 ! ,,,,,,,,,,,,,,,,,,,,
D03094,這裡 嗎 ? ,,,,,1,,,,,,,,,,,,,,,
D03095,他 有 角角 嗎 ? ,,,,,,,,,,,,,,,,,,,,
D03096,不 是 吧 . ,,,,,,,,,,,,,,,,,,,,
D03097,這裡 啊 . ,,,,,1,,,,,,,,,,,,,,,
D03098,是 角角 欸 . ,,,,,,,,,,,,,,,,,,,,
D03099,這 個 是 什麼 ? ,1,,,,,,,,,,,,,,,,,,,
D03100,應該 是 吧 . ,,,,,,,,,,,,,,,,,,,,
D06001,學 煮飯 . ,,,,,,,,,,,,,,,,,,,,
D06002,好 ! ,,,,,,,,,,,,,,,,,,,,
D06003,蛋蛋 . ,,,,,,,,,,,,,,,,,,,,
D06004,不 是 . ,,,,,,,,,,,,,,,,,,,,
D06005,爸爸 這 黏 一下 . ,,,,,,,,,,,1,,,,,,,,,
D06006,這 個 要 先 ,1,,,,,,,,,,,,,,,,,,,
D06007,他 要 在 旁邊 . ,,,,,,,,,,,,,,,,,,,,
D06008,這 用 拔 的 . ,,,1,,,,,,,,,,,,,,,,,
D06009,再 幫 我 弄 一下 . ,,,,,,,,,,,1,,,,,,1,,,
D06010,幫 我 黏 一下 . ,,,,,,,,,,,,,,,,,1,,,
D06011,還沒 . ,,,,,,,,,,,,,,,,,,,,
D06012,這 個 還沒有 . ,1,,,,,,,,,,,,,,,,,,,
D06013,積木 . ,,,,,,,,,,,,,,,,,,,,
D06014,積木 要 怎麼 玩 ? ,,,,,,,,,,,,,,,,,,,,
D06015,這 是 誰 做 的 ? ,,,1,,,,,,,,,,,,,,,,,
D06016,排 給 你 . ,,,,,,,,,,,,,1,,,,,,,
D06017,這些 什麼 啊 ? ,,1,,,,,,,,,,,,,,,,,,
D06018,這 個  ,1,,,,,,,,,,,,,,,,,,,
D06019,跟 這 個 一樣 的 . ,1,,1,,,,,,,,,,,,,,,,,
D06020,這 是 怎麼 弄 啊 ? ,,,,,,,,,,,,,,,,,,,,
D06021,這 怎麼 弄 啊 ? ,,,,,,,,,,,,,,,,,,,,
D06022,嗯 . ,,,,,,,,,,,,,,,,,,,,
D06023,鴉 . ,,,,,,,,,,,,,,,,,,,,
D06024,船 . ,,,,,,,,,,,,,,,,,,,,
D06025,我 會 做 . ,,,,,,,,,,,,,,,,,,,,
D06026,我 會 做 飛機 . ,,,,,,,,,,,,,,,,,,,,
D06027,飛機 還有 一 個 吸盤 . ,1,,,,,,,,,,,,,,,,,,,
D06028,這 個 是  ,1,,,,,,,,,,,,,,,,,,,
D06029,不 是 . ,,,,,,,,,,,,,,,,,,,,
D06030,我 會 做 . ,,,,,,,,,,,,,,,,,,,,
D06031,爸爸 幫 我 的 . ,,,1,,,,,,,,,,,,,,,,,
D06032,這 不 是 . ,,,,,,,,,,,,,,,,,,,,
D06033,噢 噢 噢 錯 ! ,,,,,,,,,,,,,,,,,,,,
D06034,那 你 做 了 嗎 ? ,,,,,,1,,,,,,,,,,,,,,
D06035,不 是 我 做 的 . ,,,1,,,,,,,,,,,,,,,,,
D06036,老師 做 的 . ,,,1,,,,,,,,,,,,,,,,,
D06037,欸咻! ,,,,,,,,,,,,,,,,,,,,
D06038,不 會 ! ,,,,,,,,,,,,,,,,,,,,
D06039,前面  啊 還有 一 個 ! ,1,,,,,,,,,,,,,,,,,,,
D06040,還有 一 個 . ,1,,,,,,,,,,,,,,,,,,,
D06041,他 還有 一 個 翅膀  . ,1,,,,,,,,,,,,,,,,,,,
D06042,還有 一 個 . ,1,,,,,,,,,,,,,,,,,,,
D06043,不 是 . ,,,,,,,,,,,,,,,,,,,,
D06044,那 是 車子 . ,,,,,,,,,,,,,,,,,,,,
D06045,那 是 車子 . ,,,,,,,,,,,,,,,,,,,,
D06046,嗯 . ,,,,,,,,,,,,,,,,,,,,
D06047,不 可以 借 你 . ,,,,,,,,,,,,,,,,,,,,
D06048,不是 ! ,,,,,,,,,,,,,,,,,,,,
D06049,嗯 啊 這 個 是 葉葉 . ,1,,,,,,,,,,,,,,,,,,,
D06050,這 個 葉葉 . ,1,,,,,,,,,,,,,,,,,,,
D06051,好 ! ,,,,,,,,,,,,,,,,,,,,
D06052,是 這 個 . ,1,,,,,,,,,,,,,,,,,,,
D06053,不 可以 . ,,,,,,,,,,,,,,,,,,,,
